pc11_state_id,pc11_district_id,state_name,district_name,st_share,sc_share,ptg_share,tot_p,inc_5k_plus_share,ed_prim_share,land_own_share
1,1,jammu kashmir,kupwara,0.018420404985984743,0.0006079600781381428,0.0011317759608222519,598707.0,0.2734404501038153,0.5230960201262013,0.7911044211135154
1,2,jammu kashmir,badgam,0.006301737170675998,0.00021005193271424798,0.0024087506751305173,628640.0,0.2907366887443144,0.41251391338049015,0.786720107979077
1,3,jammu kashmir,leh ladakh,0.32588522190397434,0.0,0.001561257820999754,79109.0,0.49068128033677805,0.5542840736332592,0.8052407459342558
1,4,jammu kashmir,kargil,0.29898027595877646,8.98316240054512e-05,0.01149310412816703,110533.0,0.48037812242656946,0.5439887359142304,0.5918498677536845
1,5,jammu kashmir,punch,0.11682488080319565,0.00011964677855489964,0.004950968883863151,420760.0,0.2542014935218236,0.5038565506829935,0.8943222869187594
1,6,jammu kashmir,rajouri,0.12845619419123822,0.038889295895123424,0.004217597996435493,603954.0,0.2665232319099408,0.5063766974715456,0.9479001549783573
1,7,jammu kashmir,kathua,0.033275653047473666,0.07504471539520206,0.003898229824488763,518943.0,0.3699152403980617,0.5787228025988607,0.6686162208899671
1,8,jammu kashmir,baramula,0.012337489791459603,4.97506377425663e-05,0.0013492779169305476,687871.0,0.3407087095261851,0.49640492515770523,0.7816916114456512
1,9,jammu kashmir,bandipore,0.0932214356430644,0.0011306515798501465,0.002408599590934393,305612.0,0.3270343375814139,0.4430017329943486,0.5812447154974072
1,10,jammu kashmir,srinagar,0.03815895902953343,5.2924052579320004e-05,0.0,16645.0,0.28635554760694504,0.46815837621688844,0.5500604392029345
1,11,jammu kashmir,ganderbal,0.041835855584655024,0.0005106297633444337,0.009483403522088851,231881.0,0.3463957322362278,0.48278022836893797,0.7287536188242874
1,12,jammu kashmir,pulwama,0.008408963686190709,0.0015967145546887925,0.005333096074208783,442986.18345746765,0.36701317641847664,0.5361532586419118,0.783044699678077
1,13,jammu kashmir,shupiyan,0.004819770474335304,0.0003449397512450968,0.000993360105235504,227715.0,0.42021004741567125,0.4913768806246989,0.8930885635931557
1,14,jammu kashmir,anantnag,0.027913028424634213,0.000652660685595762,0.006165039335278227,637606.0,0.29710236461777184,0.48386013702497827,0.7761353472242126
1,15,jammu kashmir,kulgam,0.013342918044225816,0.0005640725695205593,0.0009864138844175702,332225.0,0.255702334406695,0.4845682775222622,0.8264621612904346
1,16,jammu kashmir,doda,0.026606934787141098,0.07113119783945986,0.008247425852312864,376156.0,0.2856136511239891,0.5288393704803905,0.9508530783062481
1,17,jammu kashmir,ramban,0.04485443078590238,0.024404568054164574,0.00038659748872659205,278207.0,0.17800486412914704,0.39384255947605973,0.9289313862291797
1,18,jammu kashmir,kishtwar,0.04903385229202198,0.015816850615562036,0.0023007292585867987,206045.0,0.1777884257491678,0.40352281524439254,0.8999415133028261
1,19,jammu kashmir,udhampur,0.03885535514041646,0.09410447499573507,0.0002523124716806873,446492.0,0.318610112551865,0.4867104483831778,0.898466895123938
1,20,jammu kashmir,reasi,0.07895048615721167,0.04808887647316759,0.0005672855831992976,267828.9898107715,0.22228434325431357,0.4075062485223924,0.9127700547384372
1,21,jammu kashmir,jammu,0.022698629849945907,0.1246389819279478,9.229434246351618e-05,738129.0,0.4500725814879735,0.6497128113235084,0.6609614339020707
1,22,jammu kashmir,samba,0.01901018468840106,0.11469190505447824,0.0009034264256901536,235696.0,0.4898686001447473,0.6482550803137126,0.7097066506590659
2,23,himachal pradesh,chamba,0.09839105613623836,0.06384974320367767,3.0091477196607926e-05,466373.0,0.30058192755156476,0.5543962323780992,0.8600741656785553
2,24,himachal pradesh,kangra,0.01930132110565482,0.06345867171884795,0.0,1365815.0,0.4890632243243817,0.7064488483496042,0.7984388834570858
2,25,himachal pradesh,lahul spiti,0.30446011825249747,0.02084124610186196,0.0,29054.0,0.45770960113463494,0.6137240982686097,0.7867593642180929
2,26,himachal pradesh,kullu,0.008329679700630454,0.08044572757583547,0.0,376530.5337740803,0.3162586319212226,0.6114001742997006,0.8291422647746518
2,27,himachal pradesh,mandi,0.004513744502900905,0.07391153968962125,0.0,917242.0,0.39072700156449947,0.6458031862379202,0.8622309273845785
2,28,himachal pradesh,hamirpur,0.002569252118507092,0.06643187152788313,0.0,423541.1344926426,0.6373419470004417,0.7531994353267798,0.836173937020957
2,29,himachal pradesh,una,0.008635038805104411,0.07505774235234378,0.0,460007.47713285807,0.5075242101323907,0.7289746660655477,0.8266431955567217
2,30,himachal pradesh,bilaspur,0.010851574528036492,0.07575049564358902,0.0,331008.0,0.49148768602249854,0.6949381390299478,0.8356237376710512
2,31,himachal pradesh,solan,0.006461450545844168,0.11520835446499281,0.0,441370.0,0.4225213930981836,0.6826341495551068,0.7779872600371274
2,32,himachal pradesh,sirmaur,0.0049891790210455375,0.09980316952593307,0.0,454963.0,0.3285674923686896,0.6159995128361245,0.8503691819860957
2,33,himachal pradesh,shimla,0.0021085296510657235,0.08274814471208472,0.0,597168.0977715733,0.46130790978293573,0.6953107042953974,0.8529562290352987
2,34,himachal pradesh,kinnaur,0.25150818622770527,0.06392735351658047,0.001442837777538493,74627.0,0.4177875814290301,0.6228335562333899,0.689395296224619
3,35,punjab,gurdaspur,1.789640564582534e-05,0.07684663493559458,0.00042179207063590814,244402.0,0.43645281107974904,0.5764472844296193,0.4148440670950402
3,36,punjab,kapurthala,0.0,0.13806629870546872,0.0,139018.0,0.45429642079238014,0.5575257919051431,0.43080737281597103
